#seq_name	length	coverage
contig_1117	20498	1
contig_1118	20488	1
contig_1119	13203	2
contig_112	2694	2
contig_1120	26305	2
contig_1121	1074	1
contig_1122	20489	1
contig_1123	1524	1
contig_1124	4536	1
contig_1125	21232	1
contig_1126	20347	1
contig_1127	20338	1
contig_1128	20285	1
contig_1129	7358	1
contig_113	3278	1
contig_1130	4563	1
contig_1131	20058	1
contig_1132	20041	1
contig_1133	20017	1
contig_1134	20004	1
contig_1135	19990	1
contig_1136	19972	1
contig_1137	19928	1
contig_1138	19918	1
contig_1139	19911	1
contig_114	6105	1
contig_1140	2986	1
contig_1141	19905	1
contig_1142	19857	1
contig_1143	19838	1
contig_1144	19830	1
contig_1145	6954	1
contig_1146	2552	1
contig_1147	19657	1
contig_1148	19594	1
contig_1149	10861	1
contig_115	7297	1
contig_1150	7847	1
contig_1151	2425	1
contig_1152	28839	2
contig_1153	9628	1
contig_1154	19543	1
contig_1155	19519	1
contig_1156	19491	1
contig_1157	19451	1
contig_1158	19446	1
contig_1159	19434	1
contig_116	2439	1
contig_1160	19409	1
contig_1161	19408	1
contig_1162	19408	1
contig_1163	19367	1
contig_1164	19294	1
contig_1165	19282	1
contig_1166	19280	1
contig_1167	19182	1
contig_1168	19167	1
contig_1169	19121	1
contig_117	7040	1
contig_1170	19103	1
contig_1171	18916	1
contig_1172	18882	1
contig_1173	18877	1
contig_1174	18865	1
contig_1175	1641	1
contig_1176	17180	2
contig_1177	5420	1
contig_1178	5763	1
contig_1179	11699	1
contig_118	25204	1
contig_1180	3534	1
contig_1181	18771	1
contig_1182	18744	1
contig_1183	18742	1
contig_1184	18722	1
contig_1185	18713	1
contig_1186	1172	1
contig_1187	18695	1
contig_1188	1446	1
contig_1189	17230	1
contig_119	1660	1
contig_1190	7680	2
contig_1191	13804	1
contig_1192	1354	1
contig_1193	18667	1
contig_1194	18665	1
contig_1195	18619	1
contig_1196	2668	1
contig_1198	3589	1
contig_1199	1731	1
contig_12	8759	1
contig_120	4562	1
contig_1200	3877	1
contig_1201	2646	1
contig_1202	7224	1
contig_1203	6154	1
contig_1204	2546	1
contig_1205	2254	1
contig_1206	3405	1
contig_1207	18483	1
contig_1208	18452	1
contig_1209	18472	1
contig_121	11244	1
contig_1211	3625	1
contig_1215	2850	1
contig_1216	128	1
contig_1217	3961	1
contig_1218	7788	1
contig_1219	3905	1
contig_122	2248	1
contig_1220	18304	1
contig_1221	18292	1
contig_1222	24983	1
contig_1223	5472	1
contig_1224	1886	1
contig_1225	18248	1
contig_1226	18212	1
contig_1227	20881	1
contig_1228	18124	1
contig_1229	15000	1
contig_123	8893	1
contig_1230	11171	1
contig_1231	4750	1
contig_1232	18105	1
contig_1233	18051	1
contig_1234	18043	1
contig_1235	18032	1
contig_1236	18032	1
contig_1237	18003	1
contig_1238	17976	1
contig_1239	32728	1
contig_124	10881	1
contig_1240	5320	1
contig_1241	17968	1
contig_1242	17957	1
contig_1243	17955	1
contig_1244	17935	1
contig_1245	17920	1
contig_1246	17910	1
contig_1247	13398	1
contig_1248	17823	1
contig_1249	17761	1
contig_125	1222	1
contig_1250	16864	1
contig_1251	17778	1
contig_1252	3936	2
contig_1254	17721	1
contig_1255	17703	1
contig_1256	17674	1
contig_1257	17670	1
contig_1258	17609	1
contig_1259	4292	1
contig_126	6243	1
contig_1260	17621	1
contig_1261	21199	1
contig_1262	17564	1
contig_1263	17532	1
contig_1264	17528	1
contig_1265	17474	1
contig_1266	7737	1
contig_1267	17440	1
contig_1268	17377	1
contig_1269	17306	1
contig_127	1863	1
contig_1270	6272	1
contig_1271	24478	1
contig_1272	17292	1
contig_1273	17287	1
contig_1274	17265	1
contig_1275	17246	1
contig_1276	17056	1
contig_1277	17055	1
contig_1278	17054	1
contig_1279	17053	1
contig_128	1892	1
contig_1280	16988	1
contig_1281	6298	2
contig_1282	6591	3
contig_1283	5903	1
contig_1284	6965	1
contig_1285	16932	1
contig_1286	16921	1
contig_1287	16884	1
contig_1288	1826	1
contig_1289	16752	1
contig_129	27700	2
contig_1290	16737	1
contig_1291	4247	1
contig_1292	16670	1
contig_1293	16644	1
contig_1294	16618	1
contig_1295	16578	1
contig_1296	16558	1
contig_1297	16541	1
contig_1298	16539	1
contig_1299	16500	1
contig_13	95317	1
contig_130	5794	1
contig_1300	16482	1
contig_1301	16405	1
contig_1302	16398	1
contig_1303	16375	1
contig_1304	16436	1
contig_1305	16340	1
contig_1306	16279	1
contig_1307	15410	1
contig_1308	9544	1
contig_1309	1524	1
contig_1310	16235	1
contig_1311	16214	1
contig_1312	16207	1
contig_1313	16194	1
contig_1314	16186	1
contig_1315	16134	1
contig_1316	16131	1
contig_1317	16077	1
contig_1318	16073	1
contig_132	187054	1
contig_1321	16025	1
contig_1322	16002	1
contig_1323	15996	1
contig_1324	15893	1
contig_1325	12847	1
contig_1326	2970	2
contig_1327	7825	1
contig_1328	5679	1
contig_1329	1252	1
contig_133	176058	1
contig_1330	15891	1
contig_1331	15881	1
contig_1332	15844	1
contig_1333	15831	1
contig_1334	15822	1
contig_1335	15821	1
contig_1336	15797	1
contig_1337	15793	1
contig_1338	15781	1
contig_1339	15778	1
contig_134	21520	1
contig_1340	15766	1
contig_1341	15731	1
contig_1342	15695	1
contig_1343	15676	1
contig_1344	15667	1
contig_1345	15660	1
contig_1346	15643	1
contig_1347	15641	1
contig_1348	15638	1
contig_1349	15637	1
contig_135	827	1
contig_1350	9984	1
contig_1351	3956	2
contig_1352	3939	3
contig_1353	1724	1
contig_1354	6322	1
contig_1355	18988	2
contig_1356	15558	1
contig_1357	15517	1
contig_1358	15482	1
contig_1359	15467	1
contig_136	175430	1
contig_1360	15465	1
contig_1361	15479	1
contig_1362	15442	1
contig_1363	15414	1
contig_1364	2605	1
contig_1365	669	3
contig_1366	1989	1
contig_1367	3230	1
contig_1368	2863	1
contig_1369	1974	1
contig_137	5841	1
contig_1370	15349	1
contig_1371	1013	1
contig_1372	15302	1
contig_1373	15286	1
contig_1374	15280	1
contig_1375	2382	1
contig_1376	15265	1
contig_1377	15256	1
contig_1378	15254	1
contig_1379	15248	1
contig_138	173728	1
contig_1380	15248	1
contig_1381	15247	1
contig_1382	15241	1
contig_1383	15240	1
contig_1384	15236	1
contig_1385	15234	1
contig_1386	15231	1
contig_1387	15195	1
contig_1388	15162	1
contig_1389	15145	1
contig_139	103112	1
contig_1390	15132	1
contig_1391	15127	1
contig_1392	8317	1
contig_1393	15101	1
contig_1394	15085	1
contig_1395	15053	1
contig_1396	15021	1
contig_1397	1143	1
contig_1398	15052	1
contig_1399	15039	1
contig_14	49378	1
contig_140	41462	1
contig_1400	15032	1
contig_1401	15032	1
contig_1402	15015	1
contig_1403	15012	1
contig_1404	15010	1
contig_1405	14961	1
contig_1406	14955	1
contig_1407	14942	1
contig_1408	14918	1
contig_1409	2040	1
contig_141	31610	1
contig_1410	1567	1
contig_1411	14847	1
contig_1412	14838	1
contig_1413	1829	1
contig_1414	14818	1
contig_1415	14818	1
contig_1416	14807	1
contig_1417	14798	1
contig_1418	14780	1
contig_1419	14769	1
contig_142	6075	1
contig_1420	14742	1
contig_1421	14726	1
contig_1422	14698	1
contig_1423	14630	1
contig_1424	14605	1
contig_1425	15014	1
contig_1426	1739	1
contig_1427	6118	1
contig_1428	14585	1
contig_1429	4193	1
contig_143	3193	1
contig_1430	14573	1
contig_1431	14536	1
contig_1432	14486	1
contig_1433	14471	1
contig_1434	1309	1
contig_1435	14398	1
contig_1436	1484	1
contig_1437	3397	1
contig_1438	14398	1
contig_1439	14356	1
contig_144	172439	1
contig_1440	14350	1
contig_1441	14317	1
contig_1442	12577	1
contig_1443	14305	1
contig_1444	14238	1
contig_1445	14219	1
contig_1446	14202	1
contig_1447	14176	1
contig_1448	14151	1
contig_1449	9869	1
contig_145	15793	1
contig_1450	15701	1
contig_1451	14115	1
contig_1452	14101	1
contig_1453	14093	1
contig_1454	14070	1
contig_1455	13770	1
contig_1456	1166	1
contig_1458	14045	1
contig_1459	14013	1
contig_146	156599	1
contig_1460	13991	1
contig_1461	13955	1
contig_1462	13949	1
contig_1463	13944	1
contig_1465	13934	1
contig_1466	13927	1
contig_1467	13921	1
contig_1468	13907	1
contig_1469	1363	1
contig_147	36062	1
contig_1470	13879	1
contig_1471	13845	1
contig_1472	13836	1
contig_1473	20014	1
contig_1474	13821	1
contig_1475	13817	1
contig_1476	13805	1
contig_1477	13799	1
contig_1478	13780	1
contig_1479	13763	1
contig_148	24471	1
contig_1480	3930	1
contig_1481	13744	1
contig_1482	13674	1
contig_1483	13672	1
contig_1484	13652	1
contig_1485	13620	1
contig_1486	13598	1
contig_1487	13603	1
contig_1488	1508	1
contig_1489	13574	1
contig_149	150710	1
contig_1490	13575	1
contig_1491	13573	1
contig_1492	13571	1
contig_1493	13571	1
contig_1494	3039	1
contig_1495	3617	1
contig_1496	13562	1
contig_1497	13555	1
contig_1498	13540	1
contig_1499	13536	1
contig_15	5361	1
contig_150	148076	1
contig_1500	13510	1
contig_1501	13543	1
contig_1502	13491	1
contig_1503	13460	1
contig_1504	10029	1
contig_1505	17401	1
contig_1506	13415	1
contig_1507	13384	1
contig_1508	13378	1
contig_1509	15882	1
contig_151	132842	1
contig_1511	13368	1
contig_1512	13341	1
contig_1513	13306	1
contig_1514	7953	1
contig_1515	13230	1
contig_1516	13186	1
contig_1518	2491	1
contig_1519	13150	1
contig_152	135183	1
contig_1520	13148	1
contig_1521	13133	1
contig_1522	13124	1
contig_1523	13100	1
contig_1524	13097	1
contig_1525	13086	1
contig_1526	13084	1
contig_1527	3663	1
contig_1528	13063	1
contig_1529	4581	1
contig_153	134186	1
contig_1530	14207	2
contig_1531	8890	1
contig_1533	13043	1
contig_1534	13018	1
contig_1535	13017	1
contig_1536	13017	1
contig_1537	13010	1
contig_1538	12990	1
contig_1539	12976	1
contig_154	130848	1
contig_1540	12949	1
contig_1541	12947	1
contig_1542	12944	1
contig_1543	12934	1
contig_1544	8911	1
contig_1545	2011	1
contig_1546	24378	1
contig_1547	12924	1
contig_1548	12908	1
contig_1549	12902	1
contig_155	127361	1
contig_1550	12809	1
contig_1551	12803	1
contig_1552	6234	1
contig_1553	4743	1
contig_1554	12784	1
contig_1555	12761	1
contig_1556	12746	1
contig_1557	12705	1
contig_1558	12663	1
contig_1559	21407	1
contig_156	125166	1
contig_1560	9575	1
contig_1561	12631	1
contig_1562	12622	1
contig_1563	12606	1
contig_1564	12603	1
contig_1565	12600	1
contig_1566	18942	1
contig_1567	5174	1
contig_1569	12581	1
contig_157	124019	1
contig_1570	12581	1
contig_1571	12578	1
contig_1572	2294	1
contig_1573	4435	1
contig_1574	12532	1
contig_1575	12471	1
contig_1576	12434	1
contig_1577	12421	1
contig_1578	12410	1
contig_1579	12403	1
contig_158	14862	1
contig_1580	12370	1
contig_1581	12369	1
contig_1582	12336	1
contig_1583	12330	1
contig_1584	12299	1
contig_1585	12243	1
contig_1586	12243	1
contig_1587	12218	1
contig_1588	12215	1
contig_1589	12210	1
contig_159	122258	1
contig_1590	12204	1
contig_1591	12185	1
contig_1592	12177	1
contig_1593	12175	1
contig_1594	12134	1
contig_1595	12092	1
contig_1596	12086	1
contig_1597	12080	1
contig_1598	12041	1
contig_1599	12024	1
contig_16	2290	4
contig_160	60121	1
contig_1600	12008	1
contig_1601	11994	1
contig_1602	11968	1
contig_1603	11965	1
contig_1604	11959	1
contig_1605	11919	1
contig_1606	11894	1
contig_1607	11882	1
contig_1608	11873	1
contig_1609	11870	1
contig_161	122095	1
contig_1610	11870	1
contig_1611	11875	1
contig_1612	11847	1
contig_1613	11821	2
contig_1614	11816	1
contig_1615	9102	1
contig_1616	1330	1
contig_1617	11804	1
contig_1618	11502	3
contig_1619	5311	1
contig_162	121355	1
contig_1620	5006	2
contig_1621	11779	1
contig_1622	11768	1
contig_1623	11750	1
contig_1624	11748	1
contig_1625	11744	1
contig_1626	11722	1
contig_1627	11702	1
contig_1628	11696	1
contig_1629	11695	1
contig_163	4653	1
contig_1630	11682	1
contig_1631	11657	1
contig_1632	11657	1
contig_1633	11616	1
contig_1634	11614	1
contig_1635	11597	1
contig_1636	11586	1
contig_1637	11586	1
contig_1638	11578	1
contig_1639	11570	1
contig_164	27167	1
contig_1640	11568	1
contig_1641	11567	1
contig_1642	11554	1
contig_1643	11553	1
contig_1644	11551	1
contig_1645	11537	1
contig_1646	11503	1
contig_1647	11450	1
contig_1648	8386	1
contig_1649	3756	1
contig_165	76928	1
contig_1650	5795	1
contig_1651	1361	1
contig_1652	1616	1
contig_1653	1481	1
contig_1654	4739	1
contig_1655	11406	1
contig_1656	11375	1
contig_1657	11362	1
contig_1658	11360	1
contig_1659	11350	1
contig_166	84828	1
contig_1660	11340	1
contig_1661	11339	1
contig_1662	11321	1
contig_1663	11320	1
contig_1664	11295	1
contig_1665	11291	1
contig_1666	11275	1
contig_1667	11272	1
contig_1668	11266	1
contig_1669	11262	1
contig_167	82052	1
contig_1670	11247	1
contig_1671	11225	1
contig_1672	11212	1
contig_1673	9107	1
contig_1674	1210	1
contig_1675	11182	1
contig_1676	11179	1
contig_1677	11176	1
contig_1678	11165	1
contig_1679	11169	1
contig_168	8039	3
contig_1680	11154	1
contig_1681	11135	1
contig_1682	11129	1
contig_1683	11092	1
contig_1684	11075	1
contig_1685	9601	1
contig_1686	1219	2
contig_1687	8543	1
contig_1688	11055	1
contig_1689	5751	1
contig_169	85255	1
contig_1690	2104	1
contig_1691	11043	1
contig_1692	11039	1
contig_1693	11036	1
contig_1694	11029	1
contig_1695	11022	1
contig_1696	11000	1
contig_1697	10991	1
contig_1698	1183	1
contig_1699	10972	1
contig_17	36069	1
contig_170	11806	5
contig_1700	10962	1
contig_1701	10952	1
contig_1702	10952	1
contig_1703	10924	1
contig_1704	1227	1
contig_1705	10903	1
contig_1706	10900	1
contig_1707	10898	1
contig_1708	2063	1
contig_1709	10873	1
contig_171	49135	1
contig_1710	10866	1
contig_1711	10864	1
contig_1712	10850	1
contig_1713	10834	1
contig_1714	10829	1
contig_1715	10826	1
contig_1716	10812	1
contig_1717	10811	1
contig_1718	10807	1
contig_1719	10797	1
contig_172	56895	1
contig_1720	10797	1
contig_1721	3797	1
contig_1722	10781	1
contig_1723	10778	1
contig_1724	10774	1
contig_1725	10753	1
contig_1726	10750	1
contig_1727	19216	1
contig_1728	10721	1
contig_1729	10701	1
contig_173	55579	3
contig_1730	10694	1
contig_1731	10690	1
contig_1732	10686	1
contig_1733	10682	1
contig_1734	10635	1
contig_1735	10627	1
contig_1736	10633	1
contig_1737	10623	1
contig_1738	10618	1
contig_1739	16312	1
contig_174	5059	1
contig_1741	4170	1
contig_1742	10617	1
contig_1743	10608	1
contig_1744	10605	1
contig_1745	6758	1
contig_1746	2916	1
contig_1747	10572	1
contig_1748	10570	1
contig_1749	10560	1
contig_175	31619	1
contig_1750	10550	1
contig_1751	10538	1
contig_1752	10532	1
contig_1753	7816	1
contig_1754	3268	1
contig_1755	10512	1
contig_1756	10478	1
contig_1757	10476	1
contig_1758	10470	1
contig_1759	10466	1
contig_176	19824	1
contig_1760	10462	1
contig_1761	10450	1
contig_1762	10442	1
contig_1763	10435	1
contig_1764	10434	1
contig_1765	10431	1
contig_1766	10420	1
contig_1767	10404	1
contig_1768	10402	1
contig_1769	10398	1
contig_177	7517	1
contig_1770	10377	1
contig_1771	10363	1
contig_1772	10367	1
contig_1773	10338	1
contig_1774	10327	1
contig_1775	10320	1
contig_1776	10319	1
contig_1777	10306	1
contig_1778	1953	1
contig_1779	8404	2
contig_178	54236	1
contig_1780	10293	1
contig_1781	10290	1
contig_1782	10289	1
contig_1783	6759	1
contig_1784	10281	1
contig_1785	10279	1
contig_1786	10278	1
contig_1787	10264	1
contig_1788	10262	1
contig_1789	10257	1
contig_179	3987	2
contig_1790	6980	1
contig_1791	1101	1
contig_1792	10216	1
contig_1793	10215	1
contig_1794	17413	1
contig_1795	9489	1
contig_1796	10188	1
contig_1797	10157	1
contig_1798	10142	1
contig_18	2532	1
contig_180	4435	1
contig_1801	1063	1
contig_1802	3624	1
contig_1803	10119	1
contig_1804	10103	1
contig_1805	10075	1
contig_1806	10060	1
contig_1807	10056	1
contig_1808	10053	1
contig_1809	10047	1
contig_181	6186	1
contig_1810	10039	1
contig_1811	9992	1
contig_1812	9991	1
contig_1813	9985	1
contig_1814	9983	1
contig_1815	9981	1
contig_1816	9958	1
contig_1817	9953	1
contig_1818	9937	1
contig_1819	9927	1
contig_182	8179	1
contig_1820	9918	1
contig_1821	9900	1
contig_1822	9897	1
contig_1823	9880	1
contig_1824	9875	1
contig_1825	9872	1
contig_1826	9863	1
contig_1827	9861	1
contig_1828	9836	1
contig_1829	5262	1
contig_183	4631	1
contig_1830	2387	1
contig_1831	9830	1
contig_1832	9826	1
contig_1833	9823	1
contig_1834	9819	1
contig_1835	9808	1
contig_1836	9808	1
contig_1837	8535	1
contig_1838	1749	2
contig_1839	9800	1
contig_184	5159	5
contig_1840	9797	1
contig_1841	9791	1
contig_1842	9782	1
contig_1843	9763	1
contig_1844	9765	1
contig_1845	9747	1
contig_1846	9730	1
contig_1847	9729	1
contig_1848	9728	1
contig_1849	9722	1
contig_185	2580	1
contig_1850	9721	1
contig_1851	9715	1
contig_1852	11510	1
contig_1853	2783	1
contig_1854	2360	1
contig_1855	3355	1
contig_1856	9712	1
contig_1857	9708	1
contig_1858	9691	1
contig_1859	9687	1
contig_186	42211	1
contig_1860	7154	2
contig_1861	9666	1
contig_1862	9652	1
contig_1863	9616	1
contig_1864	9610	1
contig_1865	9609	1
contig_1866	9578	1
contig_1867	9572	1
contig_1868	9561	1
contig_1869	9558	1
contig_187	4867	1
contig_1870	9536	1
contig_1871	9521	1
contig_1872	9507	1
contig_1873	9501	1
contig_1874	9481	1
contig_1875	9467	1
contig_1876	9455	1
contig_1877	1322	1
contig_1878	3201	1
contig_1879	9442	1
contig_188	33187	1
contig_1880	9424	1
contig_1881	9417	1
contig_1882	9407	1
contig_1883	9429	1
contig_1884	9386	1
contig_1885	9383	1
contig_1886	9365	1
contig_1887	9355	1
contig_1888	9325	1
contig_1889	9314	1
contig_189	2320	1
contig_1890	7070	1
contig_1891	7591	1
contig_1892	5222	1
contig_1893	6552	1
contig_1894	9304	1
contig_1895	9295	1
contig_1896	9293	1
contig_1897	9284	1
contig_1898	9282	1
contig_1899	9271	1
contig_19	7735	4
contig_190	31902	1
contig_1900	9267	1
contig_1901	9261	1
contig_1902	9251	1
contig_1903	9228	1
contig_1904	9227	1
contig_1905	4817	1
contig_1906	9211	1
contig_1907	9192	1
contig_1908	9157	1
contig_1909	9142	1
contig_191	111090	1
contig_1910	9139	1
contig_1911	9108	1
contig_1912	9087	1
contig_1913	9081	1
contig_1914	9079	1
contig_1915	9237	1
contig_1916	9061	1
contig_1917	9058	1
contig_1918	9056	1
contig_1919	9055	1
contig_192	10041	1
contig_1920	9054	1
contig_1921	9050	1
contig_1922	9047	1
contig_1925	9055	1
contig_1926	9040	1
contig_1927	9039	1
contig_1928	9030	1
contig_1929	1901	1
contig_193	16350	1
contig_1930	6827	1
contig_1931	9021	1
contig_1932	9021	1
contig_1933	9018	1
contig_1934	9004	1
contig_1935	8992	1
contig_1936	8988	1
contig_1937	8981	1
contig_1938	8978	1
contig_1939	8950	1
contig_194	3855	1
contig_1940	8949	1
contig_1941	8948	1
contig_1942	8834	1
contig_1943	8823	1
contig_1944	8817	1
contig_1945	8798	1
contig_1946	8789	1
contig_1947	8788	1
contig_1948	8788	1
contig_1949	8785	1
contig_195	4112	1
contig_1950	8777	1
contig_1951	8738	1
contig_1952	8727	1
contig_1953	8717	1
contig_1954	8713	1
contig_1955	8711	1
contig_1956	8706	1
contig_1957	8697	1
contig_1958	8690	1
contig_1959	8682	1
contig_196	1687	1
contig_1960	8662	1
contig_1961	8656	1
contig_1962	8653	1
contig_1963	8651	1
contig_1964	8641	1
contig_1965	8640	1
contig_1966	8635	1
contig_1967	8618	1
contig_1968	8617	1
contig_1969	7011	1
contig_197	118122	1
contig_1970	1604	2
contig_1971	1524	1
contig_1972	8607	1
contig_1973	8595	1
contig_1974	8579	1
contig_1975	8569	1
contig_1976	8543	1
contig_1977	8533	1
contig_1978	8525	1
contig_1979	8523	1
contig_198	117058	1
contig_1980	8511	1
contig_1981	8497	1
contig_1982	8474	1
contig_1983	8466	1
contig_1984	8443	1
contig_1985	8442	1
contig_1986	8440	1
contig_1987	8436	1
contig_1988	8391	1
contig_1989	8383	1
contig_199	114733	1
contig_1990	8375	1
contig_1991	8371	1
contig_1992	8370	1
contig_1993	8369	1
contig_1994	8360	1
contig_1995	8356	1
contig_1996	8355	1
contig_1997	8345	1
contig_1998	8337	1
contig_1999	8331	1
contig_2	16672	1
contig_20	33755	1
contig_200	111140	1
contig_2000	8327	1
contig_2001	8323	1
contig_2002	8318	1
contig_2003	8304	1
contig_2004	8302	1
contig_2005	8295	1
contig_2006	8265	1
contig_2007	4408	1
contig_2008	8252	1
contig_2009	8248	1
contig_201	8654	1
contig_2010	8242	1
contig_2011	8237	1
contig_2012	8233	1
contig_2013	8220	1
contig_2014	8220	1
contig_2015	10396	2
contig_2016	9375	1
contig_2017	8180	1
contig_2018	8177	1
contig_2019	8176	1
contig_202	5894	1
contig_2020	8171	1
contig_2021	8169	1
contig_2022	8169	1
contig_2023	8153	1
contig_2024	8143	1
contig_2025	8106	1
contig_2026	8105	1
contig_2027	8100	1
contig_2028	8094	1
contig_2029	8091	1
contig_203	114626	1
contig_2030	1029	1
contig_2031	1521	1
contig_2032	8064	1
contig_2033	8057	1
contig_2034	8051	1
contig_2035	8050	1
contig_2036	8016	1
contig_2037	7992	1
contig_2038	7972	1
contig_2039	7971	1
contig_204	3488	1
contig_2040	7966	1
contig_2041	7962	1
contig_2042	7939	1
contig_2043	7929	1
contig_2044	7928	1
contig_2045	7923	1
contig_2046	7918	1
contig_2047	7915	1
contig_2048	7907	1
contig_2049	7903	1
contig_205	9382	1
contig_2050	7891	1
contig_2051	7881	1
contig_2052	7874	1
contig_2053	7872	1
contig_2054	7861	1
contig_2055	7861	1
contig_2056	7854	1
contig_2057	7855	1
contig_2058	7852	1
contig_2059	7847	1
contig_206	16846	2
contig_2060	7841	1
contig_2061	7841	1
contig_2062	7833	1
contig_2063	7833	1
contig_2064	7831	1
contig_2065	7829	1
contig_2066	3518	1
contig_2067	7823	1
contig_2068	3876	1
contig_2069	5200	1
contig_207	92746	2
contig_2070	7815	1
contig_2071	1160	1
contig_2072	4794	2
contig_2073	7807	2
contig_2074	7804	1
contig_2075	7799	1
contig_2076	7789	1
contig_2077	7778	1
contig_2078	7761	1
contig_2079	7760	1
contig_2080	7760	1
contig_2081	7759	1
contig_2082	7754	1
contig_2083	7741	1
contig_2084	7730	1
contig_2085	7708	1
contig_2086	7708	1
contig_2087	7696	1
contig_2088	7686	1
contig_2089	7661	1
contig_209	2870	1
contig_2090	7655	1
contig_2091	7650	1
contig_2092	7647	1
contig_2093	7644	1
contig_2094	7637	1
contig_2095	7636	1
contig_2096	7629	1
contig_2097	7627	1
contig_2098	7619	1
contig_2099	7606	1
contig_21	72192	2
contig_210	3480	1
contig_2100	7602	1
contig_2101	7585	1
contig_2102	7582	1
contig_2103	7578	1
contig_2104	7576	1
contig_2105	7567	1
contig_2106	7566	1
contig_2107	7532	1
contig_2108	7486	1
contig_2109	3217	1
contig_211	13163	1
contig_2110	7457	1
contig_2111	7452	1
contig_2112	7446	1
contig_2113	7429	1
contig_2114	7429	1
contig_2115	7408	1
contig_2116	7401	1
contig_2117	7399	1
contig_2118	7399	1
contig_2119	7397	1
contig_212	11737	1
contig_2120	7394	1
contig_2121	7382	1
contig_2122	7364	1
contig_2123	7356	1
contig_2124	7353	1
contig_2125	7351	1
contig_2126	7350	1
contig_2127	7343	1
contig_2128	7335	1
contig_2129	7332	1
contig_213	2595	1
contig_2130	7332	1
contig_2131	7328	1
contig_2132	7327	1
contig_2133	1368	1
contig_2134	1086	1
contig_2135	7317	1
contig_2136	7307	1
contig_2137	7300	1
contig_2138	7292	1
contig_2139	7283	1
contig_214	102258	1
contig_2140	7279	1
contig_2141	7279	1
contig_2142	7273	1
contig_2143	7273	1
contig_2144	7266	1
contig_2145	7261	1
contig_2146	7253	1
contig_2147	7247	1
contig_2148	7245	1
contig_2149	3977	1
contig_215	60091	1
contig_2150	4939	1
contig_2151	1430	1
contig_2152	7239	1
contig_2153	7228	1
contig_2154	7226	1
contig_2155	7225	1
contig_2156	7223	1
contig_2157	7216	1
contig_2158	7204	1
contig_2159	7194	1
contig_216	55372	1
contig_2160	7187	1
contig_2161	7181	1
contig_2162	7180	1
contig_2163	7177	1
contig_2164	7170	1
contig_2165	7161	1
contig_2166	7148	1
contig_2167	7139	1
contig_2168	7134	1
contig_2169	7127	1
contig_217	16264	1
contig_2170	7120	1
contig_2171	7110	1
