#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3434	56092	2	N	N	1	*	*,3434,3644,*
contig_3556	55952	1	N	N	1	*	*,3556,*
contig_173	55579	3	N	N	2	*	*,173,*
contig_432	55568	1	N	N	1	*	*,432,*
contig_3388	55556	1	N	N	1	*	*,3388,*
contig_3497	55469	1	N	N	1	*	*,3497,*
contig_216	55372	1	N	N	1	*	*,216,*
contig_411	55078	1	N	N	1	*	*,3459,411,*
contig_3468	55000	1	N	N	1	*	*,3467,3468,*
contig_572	55000	1	N	N	1	*	*,572,1457,*
contig_3493	54818	2	N	N	1	*	*,3493,*
contig_3506	54776	1	N	N	1	*	*,3506,*
contig_3473	54487	1	N	N	1	*	*,3473,*
contig_3399	54397	1	N	N	1	*	*,3399,*
contig_178	54236	1	N	N	1	*	*,178,-61
contig_3615	54164	1	N	N	1	*	*,3615,*
contig_440	53898	1	N	N	1	*	*,440,*
contig_3559	53804	1	N	N	1	*	*,3559,*
contig_441	53787	1	N	N	1	*	*,441,*
contig_529	53588	1	N	N	1	*	*,529,*
contig_246	53501	1	N	N	1	*	*,246,*
contig_325	53294	1	N	N	1	*	325,*
contig_640	53259	1	N	N	1	*	*,640,*
contig_453	53055	1	N	N	1	*	*,453,*
contig_454	52940	1	N	N	1	*	*,454,*
contig_3552	52805	1	N	N	1	*	*,3552,*
contig_455	52779	1	N	N	1	*	*,455,*
contig_331	52597	2	N	N	1	*	*,331,*
contig_456	52558	1	N	N	1	*	*,456,*
contig_10	52548	1	N	N	1	*	8,10,*
contig_3536	52238	1	N	N	1	*	*,3536,*
contig_3484	52168	1	N	N	1	*	*,3484,3485,*
contig_3595	51953	1	N	N	1	*	*,3595,*
contig_468	51924	1	N	N	1	*	*,468,*
contig_3509	51668	1	N	N	1	*	*,3507,3509,*
contig_3489	51366	1	N	N	1	*	*,3489,*
contig_473	51318	1	N	N	1	*	*,473,*
contig_474	50989	1	N	N	1	*	*,474,*
contig_463	50753	1	N	N	1	*	*,463,*
contig_461	50658	1	N	N	1	*	*,461,*
contig_3495	50224	1	N	N	1	*	*,3495,*
contig_492	50115	1	N	N	1	*	*,492,*
contig_491	50108	1	N	N	1	*	*,491,*
contig_494	49981	1	N	N	1	*	*,494,*
contig_497	49657	1	N	N	1	*	*,497,*
contig_498	49599	1	N	N	1	*	*,498,*
contig_3565	49415	1	N	N	1	*	*,3565,*
contig_14	49378	1	N	N	1	*	-57,14,*
contig_499	49350	1	N	N	1	*	*,499,*
contig_501	49214	1	N	N	1	*	*,501,*
contig_171	49135	1	N	N	1	*	*,171,*
contig_503	48858	1	N	N	1	*	*,503,*
contig_504	48752	1	N	N	1	*	*,504,*
contig_506	48502	1	N	N	1	*	*,506,*
contig_3510	48363	1	N	N	1	*	*,3510,*
contig_758	48309	1	N	N	1	*	*,758,*
contig_3494	48245	1	N	N	1	*	*,3494,*
contig_3541	48121	1	N	N	1	*	*,3541,*
contig_509	47979	1	N	N	1	*	*,509,*
contig_3501	47808	1	N	N	1	*	*,3501,*
contig_718	47780	1	N	N	1	*	*,718,*
contig_3594	47717	1	N	N	1	*	*,3594,*
contig_3518	47476	2	N	N	1	*	*,3518,*
contig_3588	47470	1	N	N	1	*	*,3588,3589,*
contig_502	47297	1	N	N	1	*	*,502,*
contig_3523	47173	1	N	N	1	*	*,3523,*
contig_518	47068	1	N	N	1	*	*,518,*
contig_3585	47032	1	N	N	1	*	*,3585,*
contig_519	46773	1	N	N	1	*	*,519,*
contig_520	46609	1	N	N	1	*	*,520,*
contig_521	46521	1	N	N	1	*	*,521,*
contig_3511	46211	1	N	N	1	*	*,3511,*
contig_522	46136	1	N	N	1	*	*,522,*
contig_523	46086	1	N	N	1	*	*,523,*
contig_3551	46072	1	N	N	1	*	*,3551,*
contig_524	46022	1	N	N	1	*	*,524,*
contig_532	45899	1	N	N	1	*	*,532,*
contig_3578	45744	1	N	N	1	*	*,3578,*
contig_534	45544	1	N	N	1	*	*,534,*
contig_3579	45396	1	N	N	1	*	*,3579,*
contig_537	45395	1	N	N	1	*	*,537,*
contig_538	45180	1	N	N	1	*	*,538,*
contig_539	45124	1	N	N	1	*	*,539,*
contig_543	45033	1	N	N	1	*	*,543,*
contig_3543	44971	1	N	N	1	*	*,3543,*
contig_546	44886	1	N	N	1	*	*,3505,546,*
contig_554	44713	1	N	N	1	*	*,554,*
contig_392	44645	1	N	N	1	*	*,392,*
contig_556	44627	1	N	N	1	*	*,556,*
contig_557	44540	1	N	N	1	*	*,557,*
contig_264	44489	2	N	N	1	*	*,264,*
contig_558	44451	1	N	N	1	*	*,558,*
contig_559	44348	1	N	N	1	*	*,559,*
contig_421	44326	1	N	N	1	*	*,421,*
contig_560	44284	1	N	N	1	*	*,560,*
contig_3374	44238	2	N	N	1	*	*,3374,*
contig_569	44216	1	N	N	1	*	*,569,*
contig_570	44214	1	N	N	1	*	*,570,*
contig_479	44200	1	N	N	1	*	*,479,*
contig_422	43945	1	N	N	1	*	*,422,*
contig_3372	43912	1	N	N	1	*	6,3372
contig_3515	43894	1	N	N	1	*	*,3515,*
contig_3546	43847	1	N	N	1	*	*,3546,*
contig_850	43389	1	N	N	1	*	*,850,*
contig_3596	43195	1	N	N	1	*	*,3596,*
contig_64	43156	1	N	N	1	*	64,*
contig_345	43075	1	N	N	1	*	-342,345,*
contig_3512	42989	2	Y	N	1	*	3512
contig_668	42967	1	N	N	1	*	*,3548,668,*
contig_578	42903	1	N	N	1	*	*,578,*
contig_760	42844	1	N	N	1	*	*,760,*
contig_582	42816	1	N	N	1	*	*,582,*
contig_583	42649	1	N	N	1	*	*,583,*
contig_283	42626	1	N	N	1	*	*,283,*
contig_587	42606	1	N	N	1	*	*,587,*
contig_3563	42562	1	N	N	1	*	*,3563,*
contig_969	42431	1	N	N	1	*	*,969,*
contig_590	42308	1	N	N	1	*	*,590,*
contig_591	42242	1	N	N	1	*	*,591,*
contig_3550	42240	1	N	N	1	*	*,3550,*
contig_186	42211	1	N	N	1	*	*,186,*
contig_592	42209	1	N	N	1	*	*,592,*
contig_593	42209	1	N	N	1	*	*,593,*
contig_476	42178	1	N	N	1	*	*,476,*
contig_594	42175	1	N	N	1	*	*,594,*
contig_67	42161	1	N	N	1	*	67,*
contig_595	42149	2	N	N	1	*	*,595,*
contig_705	41953	1	N	N	1	*	*,705,*
contig_999	41604	1	N	N	1	*	*,999,*
contig_574	41547	2	N	N	1	*	*,574,*
contig_140	41462	1	N	N	1	*	*,3397,140,*
contig_3634	41398	1	N	N	1	*	*,3634,*
contig_608	41220	1	N	N	1	*	*,608,*
contig_3537	41102	1	N	N	1	*	*,3537,*
contig_613	41088	1	N	N	1	*	*,613,*
contig_3557	41067	1	N	N	1	*	*,3557,*
contig_567	41064	1	N	N	1	*	*,562,564,565,567,*
contig_617	40981	1	N	N	1	*	*,617,*
contig_618	40924	1	N	N	1	*	*,618,*
contig_3561	40915	1	N	N	1	*	*,3561,*
contig_622	40849	1	N	N	1	*	*,622,*
contig_623	40830	1	N	N	1	*	*,623,*
contig_624	40788	1	N	N	1	*	*,624,*
contig_3544	40688	1	N	N	1	*	*,3544,*
contig_625	40472	1	N	N	1	*	*,625,*
contig_3547	40406	1	N	N	1	*	*,3547,*
contig_424	40399	1	N	N	1	*	*,424,*
contig_3580	40305	1	N	N	1	*	*,3580,*
contig_3597	40305	1	N	N	1	*	*,3597,*
contig_630	40300	1	N	N	1	*	*,630,*
contig_631	40245	1	N	N	1	*	*,631,*
contig_632	40227	1	N	N	1	*	*,632,*
contig_614	40196	1	N	N	1	*	*,614,*
contig_3436	40097	2	N	N	1	*	-342,3436,*
contig_3572	39905	1	N	N	1	*	*,3572,*
contig_637	39794	1	N	N	1	*	*,637,*
contig_3538	39716	1	N	N	1	*	*,3538,*
contig_642	39706	1	N	N	1	*	*,642,*
contig_643	39666	1	N	N	1	*	*,643,*
contig_647	39445	1	N	N	1	*	*,647,*
contig_3545	39385	1	N	N	1	*	*,3545,*
contig_3500	39354	1	N	N	1	*	*,3500,*
contig_649	39244	1	N	N	1	*	*,649,*
contig_3665	39215	1	N	N	1	*	*,3665,*
contig_3582	39210	2	N	N	1	*	*,3582,*
contig_650	39156	1	N	N	1	*	*,650,*
contig_3720	39095	1	N	N	1	*	*,3720,*
contig_654	39001	1	N	N	1	*	*,654,*
contig_655	38923	1	N	N	1	*	*,655,*
contig_656	38849	1	N	N	1	*	*,656,*
contig_645	38802	1	N	N	1	*	*,645,*
contig_3560	38689	1	N	N	1	*	*,3560,*
contig_657	38666	2	N	N	1	*	*,657,*
contig_3603	38482	1	N	N	1	*	*,3603,*
contig_60	38417	2	N	N	1	*	60,131,1212,1214,*
contig_658	38282	1	N	N	1	*	*,658,*
contig_3435	38212	1	N	N	1	*	-342,3435,*
contig_660	38209	1	N	N	1	*	*,660,*
contig_827	38190	1	N	N	1	*	*,827,*
contig_662	38181	1	N	N	1	*	*,662,*
contig_663	37828	1	N	N	1	*	*,663,*
contig_651	37819	1	N	N	1	*	*,651,*
contig_664	37754	1	N	N	1	*	*,664,*
contig_3592	37706	1	N	N	1	*	*,3592,*
contig_1047	37679	2	N	N	1	*	*,1047,*
contig_626	37667	1	N	N	1	*	*,626,*
contig_665	37365	1	N	N	1	*	*,665,*
contig_3573	37306	1	N	N	1	*	*,3573,*
contig_666	37306	1	N	N	1	*	*,666,*
contig_3664	37291	1	N	N	1	*	*,3664,*
contig_784	37189	1	N	N	1	*	*,784,*
contig_416	37168	1	N	N	1	*	*,-3461,416,*
contig_675	37025	1	N	N	1	*	*,675,*
contig_3377	36933	2	N	N	1	*	*,3377,*
contig_676	36646	1	N	N	1	*	*,676,*
contig_3643	36640	1	N	N	1	*	*,3643,*
contig_3464	36622	1	N	N	1	*	*,3464,*
contig_677	36517	1	N	N	1	*	*,677,*
contig_3407	36452	1	N	N	1	*	*,3407,*
contig_678	36412	1	N	N	1	*	*,678,*
contig_679	36298	1	N	N	1	*	*,679,*
contig_682	36224	1	N	N	1	*	*,682,*
contig_681	36219	1	N	N	1	*	*,681,*
contig_3569	36118	1	N	N	1	*	*,3569,*
contig_694	36113	1	N	N	1	*	*,694,*
contig_696	36092	1	N	N	1	*	*,696,*
contig_17	36069	1	N	N	1	*	-57,17,*
contig_147	36062	1	N	N	1	*	*,147,*
contig_540	36003	2	N	N	1	*	*,540,*
contig_22	35941	1	N	N	1	*	*,22,*
contig_697	35878	1	N	N	1	*	*,697,*
contig_698	35834	1	N	N	1	*	*,698,*
contig_699	35816	1	N	N	1	*	*,699,*
contig_3678	35736	1	N	N	1	*	*,3678,*
contig_702	35727	1	N	N	1	*	*,702,*
contig_3657	35720	1	N	N	1	*	*,3657,*
contig_703	35608	1	N	N	1	*	*,703,*
contig_3605	35558	1	N	N	1	*	*,3605,*
contig_704	35506	1	N	N	1	*	*,704,*
contig_700	35505	1	N	N	1	*	*,700,*
contig_3688	35494	1	N	N	1	*	*,3688,*
contig_707	35332	1	N	N	1	*	*,707,*
contig_708	35311	1	N	N	1	*	*,708,*
contig_735	35299	1	N	N	1	*	*,735,*
contig_709	35293	1	N	N	1	*	*,709,*
contig_710	35219	1	N	N	1	*	*,710,*
contig_3542	35198	1	N	N	1	*	*,3542,*
contig_445	35135	1	N	Y	1	*	445
contig_713	35121	1	N	N	1	*	*,713,*
contig_942	35098	1	N	N	1	*	*,942,*
contig_714	35090	1	N	N	1	*	*,714,*
contig_3593	35073	2	N	N	1	*	*,3593,*
contig_291	35064	1	N	N	1	*	*,-290,291,*
contig_721	34883	1	N	N	1	*	*,721,*
contig_3564	34811	1	N	N	1	*	*,3564
contig_726	34800	1	N	N	1	*	*,726,*
contig_728	34729	1	N	N	1	*	*,728,*
contig_371	34719	1	N	N	1	*	*,369,371,*
contig_3566	34701	1	N	N	1	*	*,3566,*
contig_398	34650	1	N	N	1	*	*,3456,398,*
contig_862	34650	2	N	N	1	*	862,*
contig_729	34632	1	N	N	1	*	*,729,*
contig_785	34607	1	N	N	1	*	*,785,*
contig_730	34559	1	N	N	1	*	*,730,*
contig_3568	34479	1	N	N	1	*	*,3568,*
contig_722	34464	1	N	N	1	*	*,722,*
contig_3586	34423	1	N	N	1	*	*,3586,*
contig_731	34410	1	N	N	1	*	*,731,*
contig_732	34343	1	N	N	1	*	*,732,*
contig_332	34137	1	N	N	1	*	*,332,*
contig_734	33867	1	N	N	1	*	*,734,*
contig_20	33755	1	N	N	1	*	*,20,*
contig_3584	33669	2	N	N	1	*	*,3584,*
contig_3647	33640	1	N	N	1	*	*,3647,*
contig_425	33637	1	N	Y	1	*	425,*
contig_3599	33515	2	N	N	1	*	*,3599,*
contig_738	33354	1	N	N	1	*	*,738,*
contig_743	33344	1	N	N	1	*	*,743,*
contig_744	33294	1	N	N	1	*	*,744,*
contig_745	33266	1	N	N	1	*	*,745,*
contig_746	33251	1	N	N	1	*	*,746,*
contig_749	33195	1	N	N	1	*	*,749,*
contig_188	33187	1	N	N	1	*	*,188,*
contig_3656	33011	1	N	N	1	*	*,3656,*
contig_791	32977	1	N	N	1	*	*,-3589,791,*
contig_752	32967	1	N	N	1	*	*,752,*
contig_3675	32946	1	N	N	1	*	*,3675,*
contig_3375	32938	1	N	N	1	*	*,3375,*
contig_3640	32896	2	N	N	1	*	*,3640,*
contig_1080	32895	1	N	N	1	*	*,1080,*
contig_247	32867	1	N	N	1	*	*,247,*
contig_750	32792	1	N	N	1	*	*,750,*
contig_3598	32757	1	N	N	1	*	*,3598,*
contig_753	32747	1	N	N	1	*	*,753,*
contig_1239	32728	1	N	N	1	*	*,1239,*
contig_3581	32717	1	N	N	1	*	*,3581,*
contig_941	32665	1	N	N	1	*	*,941,3673,*
contig_3616	32562	1	N	N	1	*	*,3616,*
contig_754	32515	1	N	N	1	*	*,754,*
contig_755	32411	1	N	N	1	*	*,755,*
contig_756	32342	1	N	N	1	*	*,756,*
contig_757	32255	1	N	N	1	*	*,757,*
contig_3659	32198	1	N	N	1	*	*,3659,*
contig_3583	32196	2	N	N	1	*	*,3583,*
contig_762	32065	1	N	N	1	*	*,762,*
contig_3591	32052	1	N	N	1	*	*,3591,*
contig_763	32028	1	N	N	1	*	*,763,*
contig_3610	31993	1	N	N	1	*	*,3610,*
contig_764	31971	1	N	N	1	*	*,764,*
contig_190	31902	1	N	N	1	*	-766,190,*
contig_773	31892	1	N	N	1	*	*,773,*
contig_175	31619	1	N	N	1	*	*,175,*
contig_311	31611	1	N	N	1	*	*,311,*
contig_141	31610	1	N	N	1	*	*,3397,141,*
contig_893	31566	1	N	N	1	*	*,893,3623,*
contig_3479	31441	1	N	N	1	*	*,3479,*
contig_786	31389	1	N	N	1	*	*,786,*
contig_787	31329	1	N	N	1	*	*,3587,787,*
contig_790	31265	1	N	N	1	*	*,790,*
contig_3539	31255	1	N	N	1	*	*,3539,*
contig_795	31139	1	N	N	1	*	*,795,*
contig_412	31095	1	N	N	1	*	*,3459,412,*
contig_796	31069	1	N	N	1	*	*,796,*
contig_797	31040	1	N	N	1	*	*,797,*
contig_3632	31032	1	N	N	1	*	*,3632,*
contig_3650	31026	2	N	N	1	*	*,3650,*
contig_3389	30998	1	N	N	1	*	3389
contig_798	30985	1	N	N	1	*	*,798,*
contig_800	30829	1	N	N	1	*	*,800,*
contig_856	30799	1	N	N	1	*	*,856,*
contig_3482	30740	1	N	N	1	*	*,3482,*
contig_801	30720	1	N	N	1	*	*,801,*
contig_826	30683	1	N	N	1	*	*,826,*
contig_803	30672	1	N	N	1	*	*,803,*
contig_804	30650	1	N	N	1	*	*,804,*
contig_805	30647	1	N	N	1	*	*,805,*
contig_807	30621	1	N	N	1	*	*,807,*
contig_3692	30578	1	N	N	1	*	*,3692,*
contig_367	30576	1	N	N	1	*	*,367,*
contig_808	30555	1	N	N	1	*	*,808,*
contig_809	30491	1	N	N	1	*	*,809,*
contig_3654	30466	1	N	N	1	*	*,3654,*
contig_3600	30431	1	N	N	1	*	*,3600,*
contig_3716	30420	1	N	N	1	*	*,3716,*
contig_811	30378	1	N	N	1	*	*,811,*
contig_812	30334	1	N	N	1	*	*,812,*
contig_814	30298	1	N	N	1	*	*,814,*
contig_568	30110	3	N	N	2	*	*,562,565,568,*
contig_815	30094	1	N	N	1	*	*,815,*
contig_817	30065	1	N	N	1	*	*,817,*
contig_821	30051	1	N	N	1	*	*,821,*
contig_822	30050	1	N	N	1	*	*,822,*
contig_3627	30044	3	N	N	2	*	*,3627,918
contig_3620	29893	1	N	N	1	*	*,3620,*
contig_825	29884	1	N	N	1	*	*,825,*
contig_867	29869	1	N	Y	1	*	867,*
