#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_130	5794	1	N	N	1	both	*	130
contig_132	187054	1	N	N	1	both	*	132
contig_133	176058	1	N	N	1	both	*	3395,133
contig_134	21471	1	N	N	1	both	*	3395,134,3420
contig_136	175182	1	N	N	1	both	*	136
contig_137	5854	1	N	N	1	both	*	137
contig_138	173671	1	N	N	1	both	*	3397,138
contig_139	103044	1	N	N	1	both	*	3397,139
contig_140	41457	1	N	N	1	both	*	3397,140
contig_141	31546	1	N	N	1	both	*	3397,141
contig_142	6075	1	N	N	1	both	*	142
contig_143	3193	1	N	N	1	both	*	143
contig_144	172439	1	N	N	1	both	*	144
contig_145	15795	1	N	N	1	both	*	145
contig_146	156599	1	N	N	1	both	*	146
contig_147	36062	1	N	N	1	both	*	147
contig_148	24471	1	N	N	1	both	*	148
contig_149	150710	1	N	N	1	both	*	149
contig_150	148076	1	N	N	1	both	*	150
contig_151	132842	1	N	N	1	both	*	151
contig_152	135183	1	N	N	1	both	*	152
contig_153	134186	1	N	N	1	both	*	153
contig_154	130848	1	N	N	1	both	*	154
contig_155	127361	1	N	N	1	both	*	155
contig_156	125166	1	N	N	1	both	*	156
contig_157	124019	1	N	N	1	both	*	157
contig_158	14862	1	N	N	1	both	*	158
contig_159	122258	1	N	N	1	both	*	159,3402
contig_160	60121	1	N	N	1	both	*	-3402,160
contig_161	122095	1	N	N	1	both	*	161
contig_162	121355	1	N	N	1	both	*	162
contig_163	4653	1	N	N	1	both	*	163
contig_164	27189	1	N	N	1	both	*	-232,164
contig_165	76915	1	N	N	1	both	*	-232,165
contig_166	84829	1	N	N	1	right	*	-184,166
contig_167	82049	1	N	N	1	both	*	167
contig_168	8040	1	N	N	1	right	*	-184,168,3457
contig_169	85254	1	N	N	1	both	*	169
contig_170	11820	7	Y	N	7	none	*	170
contig_171	49135	1	N	N	1	both	*	171
contig_172	56895	1	N	N	1	right	*	-184,172
contig_173	55674	2	N	N	2	both	*	173
contig_174	5059	2	N	N	2	both	*	174
contig_175	31619	1	N	N	1	both	*	175
contig_176	19824	1	N	N	1	both	*	176
contig_177	7517	1	N	N	1	both	*	177
contig_178	54236	1	N	N	1	left	*	178,-61
contig_179	3987	3	N	N	3	both	*	179
contig_180	4435	1	N	N	1	both	*	180
contig_181	6186	1	N	N	1	both	*	181
contig_182	8179	1	N	N	1	both	*	182
contig_183	4631	1	N	N	1	both	*	183
contig_185	2580	1	N	N	1	both	*	185
contig_186	42211	1	N	N	1	both	*	186
contig_187	4867	1	N	N	1	both	*	187
contig_188	33187	1	N	N	1	both	*	188
contig_189	2320	1	N	N	1	both	*	189
contig_190	31900	1	N	N	1	right	*	-766,190
contig_191	111089	1	N	N	1	both	*	191
contig_192	10041	1	N	N	1	both	*	192
contig_193	16350	1	N	N	1	both	*	193
contig_194	3855	1	N	N	1	both	*	194
contig_195	4112	1	N	N	1	both	*	195
contig_196	1687	1	N	N	1	both	*	196
contig_197	118122	1	N	N	1	both	*	197
contig_198	116974	1	N	N	1	both	*	198
contig_199	114733	1	N	N	1	both	*	199
contig_200	111156	1	N	N	1	both	*	200
contig_201	8654	1	N	N	1	both	*	201
contig_202	5894	1	N	N	1	both	*	202
contig_203	114621	1	N	N	1	both	*	203
contig_204	3488	1	N	N	1	both	*	204
contig_205	9382	2	N	N	2	both	*	205
contig_206	16836	1	N	N	1	none	*	-208,206,-208
contig_207	92805	1	N	N	1	right	*	-208,207
contig_209	2870	1	N	N	1	none	*	209
contig_210	3480	1	N	N	1	both	*	210
contig_211	13163	1	N	N	1	right	*	211
contig_212	11737	1	N	N	1	right	*	212
contig_213	2595	1	N	N	1	both	*	213
contig_214	102258	1	N	N	1	both	*	214
contig_215	60091	1	N	N	1	both	*	215
contig_216	55372	1	N	N	1	both	*	216
contig_217	16263	1	N	N	1	both	*	217
contig_218	6459	1	N	N	1	both	*	218
contig_219	100778	1	N	N	1	both	*	219
contig_220	100562	1	N	N	1	both	*	220
contig_221	100082	1	N	N	1	both	*	221
contig_222	98852	1	N	N	1	both	*	222
contig_223	98687	1	N	N	1	both	*	223
contig_224	95863	2	N	N	2	both	*	224
contig_225	98453	1	N	N	1	left	*	225,-8
contig_226	19330	1	N	N	1	both	*	226
contig_227	1037	1	N	N	1	both	*	227
contig_228	93777	1	N	N	1	both	*	228
contig_229	93763	1	N	N	1	both	*	229
contig_230	93564	1	N	N	1	both	*	230
contig_231	15696	1	N	N	1	both	*	231
contig_233	90220	1	N	N	1	both	*	233
contig_234	2704	1	N	N	1	both	*	234
contig_235	9808	1	N	N	1	both	*	235
contig_236	6172	1	N	N	1	both	*	236
contig_237	7512	1	N	N	1	both	*	237
contig_238	7611	1	N	N	1	both	*	238
contig_239	2728	2	N	N	2	both	*	239
contig_240	5290	1	N	N	1	both	*	240
contig_241	109759	1	N	N	1	both	*	241
contig_242	10481	1	N	N	1	both	*	242
contig_243	2312	1	N	N	1	both	*	243
contig_244	4748	1	N	N	1	both	*	244
contig_245	2985	1	N	N	1	both	*	245
contig_246	53502	1	N	N	1	both	*	246
contig_247	32246	1	N	N	1	both	*	247
contig_248	9973	1	N	N	1	both	*	248
contig_249	23055	3	N	N	3	right	*	-3528,-3527,249
contig_250	1296	1	N	N	1	both	*	250
contig_251	88124	1	N	N	1	both	*	251
contig_252	20045	1	N	N	1	right	*	252
contig_253	86418	1	N	N	1	both	*	253
contig_254	86483	1	N	N	1	right	*	254
contig_255	6114	1	N	N	1	both	*	255
contig_256	16026	2	N	N	2	both	*	256
contig_257	108542	2	N	N	2	both	*	257
contig_258	8920	1	N	N	1	both	*	258
contig_259	10132	1	N	N	1	both	*	259
contig_260	4478	1	N	N	1	both	*	260
contig_261	27926	1	N	N	1	both	*	261
contig_262	8859	1	N	N	1	both	*	262
contig_263	23680	1	N	N	1	both	*	263
contig_264	44489	1	N	N	1	both	*	264
contig_265	11381	1	N	N	1	both	*	265
contig_266	3827	1	N	N	1	both	*	266
contig_267	2480	1	N	N	1	both	*	267
contig_268	132969	1	N	N	1	both	*	268
contig_269	6869	1	N	N	1	both	*	269
contig_270	8026	1	N	N	1	both	*	270
contig_271	76483	1	N	N	1	right	*	271
contig_272	21985	1	N	N	1	both	*	272
contig_273	20890	1	N	N	1	right	*	273
contig_274	9341	1	N	N	1	both	*	274
contig_275	5600	1	N	N	1	both	*	275
contig_276	4019	1	N	N	1	both	*	276
contig_277	83917	1	N	N	1	both	*	277
contig_278	83029	1	N	N	1	both	*	278
contig_279	82863	1	N	N	1	both	*	279
contig_280	5568	1	N	N	1	both	*	280
contig_281	82259	1	N	N	1	both	*	281
contig_282	80590	1	N	N	1	both	*	282
contig_283	42626	1	N	N	1	both	*	283
contig_284	7777	1	N	N	1	both	*	284
contig_285	79879	1	N	N	1	both	*	285
contig_286	79594	1	N	N	1	both	*	286
contig_287	77913	1	N	N	1	both	*	287
contig_288	12940	1	N	N	1	both	*	288
contig_289	77747	1	N	N	1	both	*	289,290
contig_291	35064	1	N	N	1	both	*	-290,291
contig_292	1766	1	N	N	1	both	*	292
contig_293	4804	1	N	N	1	both	*	293
contig_294	2776	3	N	N	3	both	*	294
contig_295	1628	1	N	N	1	both	*	295
contig_296	1343	1	N	N	1	both	*	296
contig_297	5822	1	N	N	1	both	*	297
contig_298	4471	2	N	N	2	both	*	298
contig_300	84394	1	N	N	1	both	*	300
contig_301	57713	1	N	N	1	both	*	301
contig_302	25572	2	N	N	2	both	*	302
contig_303	1837	1	N	N	1	both	*	303
contig_305	1246	1	N	N	1	both	*	305
contig_308	61654	1	N	N	1	right	*	61,308
contig_309	995	1	N	N	1	both	*	309
contig_310	3702	1	N	N	1	both	*	310
contig_311	31611	1	N	N	1	both	*	311
contig_312	13785	1	N	N	1	both	*	312
contig_313	3255	1	N	N	1	both	*	313
contig_314	2082	1	N	N	1	both	*	314
contig_315	1857	1	N	N	1	both	*	315
contig_316	75054	1	N	N	1	both	*	316
contig_317	9780	1	N	N	1	both	*	317
contig_318	14228	1	N	N	1	both	*	318
contig_319	18354	1	N	N	1	both	*	319
contig_320	5210	1	N	N	1	both	*	320
contig_321	14677	2	N	N	2	both	*	321
contig_322	9509	1	N	N	1	both	*	322
contig_323	5599	1	N	N	1	both	*	323
contig_324	63230	1	N	N	1	right	*	324
contig_325	53294	1	N	N	1	right	*	325
contig_326	7174	2	N	N	2	both	*	326
contig_327	19556	1	N	N	1	right	*	327
contig_328	22557	1	N	N	1	right	*	328
contig_329	74660	1	N	N	1	both	*	329
contig_330	13793	1	N	N	1	both	*	330
contig_331	52634	1	N	N	1	both	*	331
contig_332	34137	1	N	N	1	both	*	332
contig_333	7163	1	N	N	1	both	*	333
contig_334	1665	1	N	N	1	both	*	334
contig_335	73595	1	N	N	1	both	*	335
contig_336	72965	1	N	N	1	both	*	336
contig_337	72885	1	N	N	1	both	*	337
contig_338	60877	1	N	N	1	both	*	338
contig_339	29808	1	N	N	1	both	*	-3673,339
contig_340	4019	1	N	N	1	both	*	340
contig_343	26409	1	N	N	1	both	*	343
contig_344	2882	1	N	N	1	both	*	344
contig_345	43075	1	N	N	1	right	*	-342,345
contig_346	3183	1	N	N	1	both	*	346
contig_347	3523	1	N	N	1	both	*	347
contig_348	6522	1	N	N	1	both	*	348
contig_349	72569	1	N	N	1	both	*	349
contig_350	72409	1	N	N	1	both	*	350
contig_351	72305	1	N	N	1	both	*	351
contig_352	77529	1	N	N	1	both	*	352
contig_353	1166	1	N	N	1	both	*	353
contig_354	72031	1	N	N	1	both	*	354
contig_355	71877	1	N	N	1	both	*	355
contig_356	71142	1	N	N	1	both	*	356
contig_357	71040	1	N	N	1	both	*	357
contig_358	70221	1	N	N	1	both	*	358
contig_359	69982	1	N	N	1	both	*	359
contig_360	69167	1	N	N	1	both	*	360
contig_361	68921	1	N	N	1	both	*	361
contig_362	67066	1	N	N	1	both	*	362
contig_363	67044	1	N	N	1	both	*	363
contig_364	66926	1	N	N	1	both	*	364
contig_365	20953	1	N	N	1	both	*	365
contig_366	10504	1	N	N	1	both	*	366
contig_367	30365	1	N	N	1	both	*	367
contig_368	2000	1	N	N	1	both	*	368
contig_370	2243	1	N	N	1	both	*	370
contig_371	34716	1	N	N	1	both	*	369,371
contig_372	1302	1	N	N	1	both	*	372
contig_373	65249	1	N	N	1	both	*	373
contig_374	65057	1	N	N	1	both	*	374
contig_375	63910	1	N	N	1	both	*	375
contig_376	4358	1	N	N	1	both	*	376
contig_377	63461	2	N	N	2	both	*	377
contig_378	2173	1	N	N	1	both	*	378
contig_379	63259	1	N	N	1	both	*	379
contig_380	122181	2	N	N	2	both	*	380
contig_381	7602	1	N	N	1	both	*	381
contig_382	3320	1	N	N	1	both	*	382
contig_383	62085	1	N	N	1	both	*	383
contig_384	9219	1	N	N	1	both	*	384
contig_385	8300	1	N	N	1	both	*	385
contig_386	60966	1	N	N	1	both	*	386
contig_387	60965	1	N	N	1	both	*	387
contig_388	3226	1	N	N	1	both	*	388
contig_389	1265	3	N	N	3	both	*	389
contig_390	2329	1	N	N	1	both	*	390
contig_391	68218	1	N	N	1	both	*	391
contig_392	44645	1	N	N	1	both	*	392
contig_393	24698	1	N	N	1	both	*	393
contig_394	5900	1	N	N	1	both	*	394
contig_395	78167	1	N	N	1	both	*	395
contig_396	22702	1	N	N	1	both	*	396
contig_397	60214	1	N	N	1	both	*	3456,397
contig_398	34650	1	N	N	1	both	*	3456,398
contig_399	70462	1	N	N	1	both	*	-3457,399
contig_400	5435	1	N	N	1	both	*	400
contig_401	7943	1	N	N	1	both	*	401
contig_402	59993	1	N	N	1	both	*	402
contig_403	59715	1	N	N	1	both	*	403
contig_404	4314	1	N	N	1	both	*	404
contig_405	72651	1	N	N	1	both	*	405
contig_406	58823	1	N	N	1	both	*	406
contig_407	58719	1	N	N	1	both	*	407
contig_408	58464	1	N	N	1	both	*	408
contig_409	58360	1	N	N	1	both	*	409
contig_410	2481	1	N	N	1	both	*	410
contig_411	55074	1	N	N	1	both	*	3459,411
contig_412	31095	1	N	N	1	both	*	3459,412
contig_413	11457	1	N	N	1	both	*	3459,413
contig_414	57127	1	N	N	1	both	*	414
contig_415	56869	1	N	N	1	both	*	415,3461
contig_416	37168	1	N	N	1	both	*	-3461,416
contig_417	56811	1	N	N	1	both	*	417
contig_418	4703	1	N	N	1	both	*	418
contig_419	10860	1	N	N	1	both	*	419
contig_420	81508	2	N	N	2	both	*	420
contig_421	44326	1	N	N	1	both	*	421
contig_422	43945	1	N	N	1	both	*	422
contig_423	70178	1	N	N	1	right	*	423
contig_424	40399	1	N	N	1	both	*	424
contig_426	9007	1	N	N	1	both	*	426
contig_427	3972	1	N	N	1	both	*	427
contig_428	27658	1	N	N	1	left	*	428
contig_429	1782	1	N	N	1	both	*	429
contig_430	6564	1	N	N	1	both	*	430
contig_431	6865	1	N	N	1	both	*	431
contig_432	55568	1	N	N	1	both	*	432
contig_434	6782	4	N	N	4	both	*	434
contig_435	3049	1	N	N	1	both	*	435
contig_436	4156	1	N	N	1	both	*	436
contig_437	1068	1	N	N	1	both	*	437
contig_438	3201	1	N	N	1	both	*	438
contig_439	13348	1	N	N	1	both	*	439
contig_440	53898	1	N	N	1	both	*	440
contig_441	53735	1	N	N	1	both	*	441
contig_442	1648	1	N	N	1	both	*	442
contig_443	14543	1	N	N	1	both	*	3467,443
contig_444	536	2	N	N	2	both	*	444
contig_446	1056	1	N	N	1	both	*	446
contig_447	11555	1	N	N	1	both	*	447
contig_448	5036	1	N	N	1	both	*	448
contig_449	14571	1	N	N	1	both	*	449
contig_450	5735	2	N	N	2	both	*	450
contig_451	8652	1	N	N	1	both	*	451
contig_452	11904	1	N	N	1	both	*	452
contig_453	53055	1	N	N	1	both	*	453
contig_454	52940	1	N	N	1	both	*	454
contig_455	52779	1	N	N	1	both	*	455
contig_456	52560	1	N	N	1	both	*	456
contig_457	1509	1	N	N	1	both	*	457
contig_458	67550	1	N	N	1	both	*	458
contig_459	7631	1	N	N	1	both	*	459
contig_460	19329	1	N	N	1	both	*	460
contig_461	50658	1	N	N	1	both	*	461
contig_462	14014	1	N	N	1	both	*	462
contig_463	50753	1	N	N	1	both	*	463
contig_464	13389	1	N	N	1	both	*	464
contig_465	1452	1	N	N	1	both	*	465
contig_466	9477	1	N	N	1	both	*	466
contig_467	1081	1	N	N	1	both	*	467
contig_468	51924	1	N	N	1	both	*	468
contig_469	4361	1	N	N	1	both	*	469
contig_470	18118	1	N	N	1	both	*	470
contig_471	1708	1	N	N	1	both	*	471
contig_472	75113	1	N	N	1	both	*	472
contig_473	51318	1	N	N	1	both	*	473
contig_474	50989	1	N	N	1	both	*	474
contig_475	58291	1	N	N	1	both	*	475
contig_476	42212	1	N	N	1	both	*	476
contig_477	113587	1	N	N	1	both	*	477
contig_478	71288	2	N	N	2	both	*	478
contig_479	44190	1	N	N	1	both	*	479
contig_480	4477	1	N	N	1	both	*	480
contig_481	70946	1	N	N	1	both	*	481
contig_482	19794	1	N	N	1	both	*	482
contig_483	14885	1	N	N	1	both	*	483
contig_484	12203	1	N	N	1	both	*	484
contig_485	8861	1	N	N	1	both	*	485
contig_486	5236	1	N	N	1	both	*	486
contig_487	122995	1	N	N	1	both	*	487,-3658
contig_488	4892	1	N	N	1	both	*	488
contig_489	3201	1	N	N	1	both	*	489
contig_490	16869	1	N	N	1	both	*	490
contig_491	50108	1	N	N	1	both	*	491
contig_492	50093	1	N	N	1	both	*	492
contig_493	2567	1	N	N	1	both	*	493
contig_494	49981	1	N	N	1	both	*	494
contig_495	11601	1	N	N	1	both	*	495
contig_496	13913	1	N	N	1	both	*	-3485,496
contig_497	49657	1	N	N	1	both	*	497
contig_498	49599	1	N	N	1	both	*	498
contig_499	49353	1	N	N	1	both	*	499
contig_500	24596	1	N	N	1	both	*	500
contig_501	49214	1	N	N	1	both	*	501
contig_502	47297	1	N	N	1	both	*	502
contig_503	48858	1	N	N	1	both	*	503
contig_504	48743	1	N	N	1	both	*	504
contig_505	140191	1	N	N	1	both	*	505
contig_506	48502	1	N	N	1	both	*	506
contig_507	2092	1	N	N	1	both	*	507
contig_508	9719	1	N	N	1	both	*	508
contig_509	47979	1	N	N	1	both	*	509
contig_510	61212	1	N	N	1	both	*	510
contig_511	10629	2	N	N	2	both	*	511
contig_512	2008	1	N	N	1	both	*	512
contig_513	3824	1	N	N	1	both	*	513
contig_514	28349	1	N	N	1	both	*	514
contig_515	60949	1	N	N	1	both	*	515
contig_516	92993	1	N	N	1	both	*	516
contig_517	1990	1	N	N	1	both	*	517
contig_518	47068	1	N	N	1	both	*	518
contig_519	46773	1	N	N	1	both	*	519
contig_520	46609	1	N	N	1	both	*	520
contig_521	46521	1	N	N	1	both	*	521
contig_522	46136	1	N	N	1	both	*	522
contig_523	46086	1	N	N	1	both	*	523
contig_524	46022	1	N	N	1	both	*	524
contig_526	88532	1	N	N	1	both	*	526
contig_527	1815	1	N	N	1	both	*	527
contig_528	7776	1	N	N	1	both	*	528
contig_529	53588	1	N	N	1	both	*	529
contig_530	9453	1	N	N	1	both	*	530
contig_531	4821	1	N	N	1	both	*	531
contig_532	45880	1	N	N	1	both	*	532
contig_533	2211	1	N	N	1	both	*	533
contig_534	45544	1	N	N	1	both	*	534
contig_535	6163	1	N	N	1	both	*	535
contig_536	4995	1	N	N	1	both	*	536
contig_537	45395	1	N	N	1	both	*	537
contig_538	45179	1	N	N	1	both	*	538
contig_539	45120	1	N	N	1	both	*	539
contig_540	36003	2	N	N	2	both	*	540
contig_541	5873	1	N	N	1	both	*	541
contig_542	2873	1	N	N	1	both	*	542
contig_543	45033	1	N	N	1	both	*	543
contig_544	64457	2	N	N	2	both	*	544
contig_545	7729	1	N	N	1	both	*	545
contig_546	44886	1	N	N	1	both	*	3505,546
contig_547	18701	1	N	N	1	both	*	3505,547
contig_548	6993	1	N	N	1	both	*	548
contig_549	26394	2	N	N	2	both	*	549
contig_550	9753	1	N	N	1	both	*	550
contig_551	9328	1	N	N	1	both	*	551
contig_552	1179	1	N	N	1	both	*	552
contig_553	14442	1	N	N	1	both	*	3507,553
contig_554	44713	1	N	N	1	both	*	554
contig_555	7455	1	N	N	1	both	*	555
contig_556	44627	1	N	N	1	both	*	556
contig_557	44540	1	N	N	1	both	*	557
contig_558	44451	1	N	N	1	both	*	558
contig_559	44348	1	N	N	1	both	*	559
contig_560	44284	1	N	N	1	both	*	560
contig_561	3195	1	N	N	1	both	*	561
contig_563	1085	2	N	N	2	both	*	563
contig_566	2301	1	N	N	1	both	*	566
contig_567	41062	2	N	N	2	both	*	562,564,565,567
contig_568	30167	3	N	N	3	both	*	562,565,568
contig_569	44216	1	N	N	1	both	*	569
contig_570	44214	1	N	N	1	both	*	570
contig_571	3545	1	N	N	1	both	*	571
contig_572	55130	1	N	N	1	both	*	572,1457
contig_573	12026	1	N	N	1	both	*	573
contig_574	41465	2	N	N	2	both	*	574
contig_575	25743	1	N	N	1	both	*	575
contig_576	20882	1	N	N	1	both	*	576
contig_577	14661	1	N	N	1	both	*	577
contig_578	42903	1	N	N	1	both	*	578
contig_579	1959	1	N	N	1	both	*	579
contig_580	2075	1	N	N	1	both	*	580
contig_581	9085	1	N	N	1	both	*	581
contig_582	42816	1	N	N	1	both	*	582
contig_583	42649	1	N	N	1	both	*	583
contig_584	64011	1	N	N	1	both	*	584
contig_585	11285	1	N	N	1	both	*	585
contig_586	1540	2	N	N	2	both	*	586
contig_587	42606	1	N	N	1	both	*	587
contig_590	42308	1	N	N	1	both	*	590
contig_591	42242	1	N	N	1	both	*	591
contig_592	42209	1	N	N	1	both	*	592
contig_593	42209	1	N	N	1	both	*	593
contig_594	42175	1	N	N	1	both	*	594
contig_595	42149	2	N	N	2	both	*	595
contig_596	1293	2	N	N	2	both	*	596
contig_597	1990	1	N	N	1	both	*	597
contig_598	92964	1	N	N	1	both	*	598
contig_599	842	2	N	N	2	both	*	599
contig_600	23544	1	N	N	1	both	*	600
contig_601	1760	1	N	N	1	both	*	601
contig_602	4072	1	N	N	1	both	*	602
contig_603	26773	1	N	N	1	both	*	603
contig_604	81979	1	N	N	1	both	*	604,3524
contig_605	79674	2	N	N	2	both	*	605,3524
contig_606	20082	1	N	N	1	both	*	606
contig_607	18362	1	N	N	1	both	*	607
contig_608	41220	1	N	N	1	both	*	608
contig_609	8742	1	N	N	1	both	*	609
contig_610	15211	1	N	N	1	right	*	-3527,610
contig_611	17347	1	N	N	1	none	*	611,-6
contig_612	3705	1	N	N	1	both	*	612
contig_613	41088	1	N	N	1	both	*	613
contig_614	40148	1	N	N	1	both	*	614
contig_617	40981	1	N	N	1	both	*	617
contig_618	40924	1	N	N	1	both	*	618
contig_620	23807	1	N	N	1	both	*	-619,620,3562
contig_621	22429	1	N	N	1	both	*	-619,-3528,621,3562
contig_622	40849	1	N	N	1	both	*	622
contig_623	40830	1	N	N	1	both	*	623
contig_624	40788	1	N	N	1	both	*	624
contig_625	40472	1	N	N	1	both	*	625
contig_626	37624	1	N	N	1	both	*	626
contig_627	5343	1	N	N	1	both	*	627
contig_628	1274	1	N	N	1	both	*	628
contig_629	8579	1	N	N	1	both	*	629
contig_630	40300	1	N	N	1	both	*	630
contig_631	40240	1	N	N	1	both	*	631
contig_632	40227	1	N	N	1	both	*	632
contig_633	2434	2	N	N	2	both	*	633
contig_634	2435	1	N	N	1	both	*	634
contig_635	15417	1	N	N	1	both	*	3590,635
contig_636	6458	1	N	N	1	both	*	636
contig_637	39794	1	N	N	1	both	*	637
contig_638	1336	1	N	N	1	both	*	638
contig_639	3141	1	N	N	1	both	*	639
contig_640	52907	1	N	N	1	both	*	640
contig_641	10439	1	N	N	1	both	*	641
contig_642	39706	1	N	N	1	both	*	642
contig_643	39666	1	N	N	1	both	*	643
contig_644	2277	1	N	N	1	both	*	644
contig_645	38667	1	N	N	1	both	*	645
contig_646	1310	1	N	N	1	both	*	646
contig_647	39445	1	N	N	1	both	*	647
contig_648	7087	1	N	N	1	both	*	648
contig_649	39244	1	N	N	1	both	*	649
contig_650	39156	1	N	N	1	both	*	650
contig_651	37821	1	N	N	1	both	*	651
contig_652	18936	1	N	N	1	both	*	652
